,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
0,"50,007 km",2014 Tata Nano XT TWIST,December 2014,First Owner,22/2/2021,Comp,DL11,Petrol,MANUAL,"₹ 114,899"
1,"19,577 km",2016 Maruti Celerio ZXI OPT AMT,April 2016,First Owner,10/5/2021,Zero_Dep,DL6C,Petrol,AUTOMATIC,"₹ 368,499"
2,"57,650 km",2011 Maruti Wagon R 1.0 LXI CNG,May 2011,Second Owner,20/9/2021,Third_party,DL8C,Petrol + CNG,MANUAL,"₹ 196,199"
3,"47,447 km",2010 Hyundai Santro Xing GLS,March 2010,First Owner,27/3/2021,Comp,DL3C,Petrol + CNG,MANUAL,"₹ 156,460"
4,"13,337 km",2016 Maruti Alto K10 LXI,May 2016,First Owner,2/11/2021,Expired,DL6C,Petrol,MANUAL,"₹ 293,447"
5,"32,089 km",2011 Maruti Alto K10 LXI,March 2011,Second Owner,21/5/2021,Third_party,DL3C,Petrol,MANUAL,"₹ 173,699"
6,NA,2013 Maruti Alto 800 LXI,April 2013,First Owner,7/12/2021,Comp,DL9C,Petrol,MANUAL,"₹ 203,081"
7,"28,769 km",2012 Maruti Ritz VDI ,NA,First Owner,26/7/2021,Comp,DL9C,Diesel,MANUAL,"₹ 300,199"
8,"16,061 km",2018 Maruti Celerio ZXI AMT,October 2012,NA,20/2/2021,Comp,DL9C,Petrol,AUTOMATIC,"₹ 399,804"
9,"18,002 km",2011 Hyundai i10 MAGNA 1.1 IRDE2,January 2018,Second Owner,3/1/2021,Comp,DL2C,NA,MANUAL,"₹ 172,600"
10,"59,546 km",2018 Maruti Wagon R 1.0 LXI,June 2011,Second Owner,NA,NA,DL9C,Petrol,MANUAL,"₹ 343,899"
11,"17,101 km",2013 Maruti Ritz VDI ,April 2018,First Owner,5/12/2021,Expired,DL8C,Petrol,MANUAL,"₹ 240,099"
12,"44,432 km",2014 Hyundai i10 MAGNA 1.1 IRDE2,January 2013,Second Owner,NA,Comp,HR51,Diesel,MANUAL,"₹ 290,999"
13,"31,584 km",2016 Datsun Redi Go T (O),November 2014,First Owner,26/10/2021,Comp,DL8C,Petrol,MANUAL,"₹ 195,399"
14,"37,538 km",2014 Honda Brio 1.2 S MT I VTEC,August 2016,First Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 308,399"
15,"32,152 km",2017 Datsun Redi Go T (O),March 2014,Second Owner,2/3/2021,Comp,DL2C,Petrol,NA,"₹ 288,999"
16,"4,730 km",2017 Maruti Baleno ZETA 1.2 K12 ,August 2017,First Owner,18/8/2021,Zero_Dep,DL6C,Petrol,MANUAL,"₹ 568,499"
17,"27,073 km",2012 Hyundai i20 ERA 1.2 ,April 2017,First Owner,30/4/2021,Zero_Dep,DL12,Petrol,MANUAL,"₹ 296,199"
18,"37,076 km",2018 Tata Tiago XZ 1.2 REVOTRON,April 2012,Second Owner,10/10/2021,Third_party,DL10,Petrol,MANUAL,"₹ 438,105"
19,"14,036 km",2019 Maruti Swift LXI,May 2018,First Owner,30/7/2021,Zero_Dep,DL9C,Petrol,MANUAL,"₹ 459,962"
20,"16,372 km",2013 Maruti Swift VDI,March 2019,First Owner,19/4/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 366,299"
21,"39,124 km",2014 Hyundai Grand i10 ERA 1.2 VTVT,February 2013,First Owner,15/2/2021,Comp,DL10,Diesel,MANUAL,"₹ 345,799"
22,"23,794 km",2016 Honda Amaze 1.2 SMT I VTEC,January 2014,Second Owner,23/6/2021,Third_party,DL1C,Petrol,MANUAL,"₹ 353,599"
23,"19,568 km",2011 Hyundai i20 MAGNA O 1.2,March 2016,Second Owner,16/8/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 253,261"
24,"54,534 km",2012 Maruti Swift Dzire VDI BS IV,June 2011,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 366,438"
25,"49,510 km",2015 Maruti Swift VDI ABS,June 2012,First Owner,5/6/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 421,399"
26,"25,850 km",2010 Maruti Alto LXI,February 2015,First Owner,8/4/2021,Zero_Dep,DL5C,Diesel,MANUAL,"₹ 148,299"
27,"42,016 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,April 2010,First Owner,27/4/2021,Third_party,DL4C,Petrol,MANUAL,"₹ 426,999"
28,"74,271 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,November 2013,First Owner,28/3/2021,Expired,DL4C,Diesel,MANUAL,"₹ 428,699"
29,"49,718 km",2011 Maruti Alto LXI,January 2013,First Owner,NA,Expired,DL6C,Diesel,MANUAL,"₹ 156,299"
30,"41,402 km",2016 Maruti Alto 800 VXI,March 2011,First Owner,26/11/2021,Comp,DL5C,Petrol,MANUAL,"₹ 296,899"
31,"33,510 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,September 2016,First Owner,NA,Zero_Dep,DL10,Petrol,MANUAL,"₹ 410,499"
32,"48,288 km",2018 Maruti Alto 800 LXI,August 2012,First Owner,27/8/2021,Comp,DL8C,Diesel,MANUAL,"₹ 290,999"
33,"10,123 km",2012 Toyota Etios VX D,April 2018,First Owner,13/6/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 292,699"
34,"52,194 km",2015 Hyundai Elite i20 ASTA 1.2,August 2012,Second Owner,24/3/2021,Comp,DL12,Diesel,MANUAL,"₹ 537,999"
35,"37,486 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,September 2015,First Owner,26/2/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 443,099"
36,"39,550 km",2013 Maruti Swift VDI,October 2015,First Owner,30/10/2021,Comp,DL2C,Petrol,MANUAL,"₹ 368,599"
37,"45,371 km",2011 Maruti Wagon R 1.0 VXI,October 2013,First Owner,18/12/2021,Comp,DL9C,Diesel,MANUAL,"₹ 167,199"
38,"66,014 km",2018 Tata Tiago XT 1.2 REVOTRON,March 2011,First Owner,2/6/2021,Expired,DL1C,Petrol,MANUAL,"₹ 417,499"
39,"25,131 km",2010 Ford Figo 1.2 EXI DURATEC,April 2018,First Owner,NA,Zero_Dep,DL4C,Petrol,MANUAL,"₹ 191,997"
40,"27,728 km",2014 Maruti Alto 800 VXI,August 2010,Second Owner,27/12/2021,Third_party,DL2C,Petrol,MANUAL,"₹ 231,899"
41,"31,738 km",2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,January 2014,First Owner,18/1/2022,Comp,DL10,Petrol,MANUAL,"₹ 334,899"
42,"16,316 km",2015 Maruti Wagon R 1.0 VXI AMT,June 2014,First Owner,29/7/2021,Comp,DL2C,Petrol,MANUAL,"₹ 378,499"
43,"22,900 km",2017 Maruti Dzire VXI,November 2015,First Owner,26/12/2021,Comp,DL2C,Petrol,AUTOMATIC,"₹ 634,099"
44,"9,562 km",2017 Maruti Alto K10 VXI ,October 2017,Second Owner,19/11/2021,Third_party,DL9C,Petrol,MANUAL,"₹ 410,618"
45,"8,300 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,August 2017,First Owner,26/8/2021,Expired,DL6C,Petrol,MANUAL,"₹ 352,299"
46,"40,055 km",2018 Maruti Wagon R 1.0 LXI CNG,June 2012,First Owner,NA,Comp,DL2C,Petrol,MANUAL,"₹ 421,699"
47,"28,560 km",2013 Maruti Wagon R 1.0 VXI,April 2018,First Owner,27/7/2021,Zero_Dep,DL2C,Petrol + CNG,MANUAL,"₹ 325,599"
48,"18,325 km",2017 Hyundai Elite i20 SPORTZ 1.2,September 2013,First Owner,23/10/2021,Comp,DL8C,Petrol,MANUAL,"₹ 667,399"
49,"6,210 km",2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,May 2017,First Owner,26/1/2022,Comp,DL11,Petrol,MANUAL,"₹ 413,899"
50,"34,558 km",2018 Renault Kwid RXL,November 2016,First Owner,29/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 347,499"
51,"5,160 km",2013 Maruti Swift VDI,November 2018,First Owner,28/1/2022,Expired,DL5C,Petrol,MANUAL,"₹ 383,299"
52,"49,117 km",2015 Maruti Swift VDI ABS,October 2013,First Owner,29/10/2021,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 412,399"
53,"54,409 km",2016 Tata Tiago XZ 1.2 REVOTRON,March 2015,First Owner,24/4/2021,Expired,DL10,Diesel,MANUAL,"₹ 429,099"
54,"10,063 km",2017 Renault Kwid CLIMBER 1.0,March 2016,First Owner,NA,Third_party,DL12,Petrol,MANUAL,"₹ 352,999"
55,"14,802 km",2013 Volkswagen Polo HIGHLINE1.2L PETROL,March 2017,Second Owner,22/9/2021,Third_party,DL10,Petrol,MANUAL,"₹ 378,499"
56,"38,905 km",2013 Volkswagen Vento HIGHLINE DIESEL,June 2013,First Owner,14/6/2021,Comp,DL14,Petrol,MANUAL,"₹ 424,499"
57,NA,2014 Maruti Celerio VXI AMT,June 2013,First Owner,27/9/2021,Expired,DL8C,Diesel,AUTOMATIC,"₹ 408,299"
58,"27,821 km",2018 Honda Jazz 1.2 V AT,September 2014,First Owner,19/6/2021,Comp,DL9C,Petrol,AUTOMATIC,"₹ 652,041"
59,"17,382 km",2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,April 2018,First Owner,7/4/2021,Zero Depreciation,HR26,Petrol,MANUAL,"₹ 534,499"
60,NA,2014 Maruti Swift VDI,NA,First Owner,10/3/2021,Expired,DL8C,Diesel,MANUAL,"₹ 424,699"
61,"16,195 km",2012 Mahindra XUV500 W8 FWD,March 2014,First Owner,29/4/2021,Zero_Dep,DL14,Diesel,MANUAL,"₹ 446,899"
62,"48,498 km",2016 Maruti Baleno DELTA 1.2 K12 ,NA,NA,22/6/2021,Comp,DL9C,Diesel,MANUAL,"₹ 548,199"
63,"28,652 km",2017 Hyundai Grand i10 Sportz(O) 1.2 MT,March 2014,First Owner,2/9/2021,Zero_Dep,DL4C,Petrol,MANUAL,"₹ 380,899"
64,"59,608 km",2018 Maruti Alto K10 VXI ,April 2012,NA,1/5/2021,Zero_Dep,DL14,NA,MANUAL,"₹ 382,399"
65,"26,568 km",2015 Maruti Ritz VDI ,June 2016,Second Owner,1/1/2021,Comp,DL6C,Petrol,MANUAL,"₹ 301,599"
66,"71,996 km",2015 Hyundai Grand i10 SPORTS 1.2 VTVT,June 2017,First Owner,25/6/2021,Comp,DL8C,Petrol,MANUAL,"₹ 420,199"
67,"30,028 km",2016 Maruti Baleno DELTA 1.2 K12 ,April 2018,First Owner,8/2/2021,NA,DL12,NA,MANUAL,"₹ 549,299"
68,"64,475 km",2016 Renault Kwid RXL,February 2015,First Owner,NA,Comp,HR26,Diesel,MANUAL,"₹ 250,999"
69,"47,789 km",2008 Maruti A Star ZXI,January 2015,First Owner,25/11/2021,NA,DL2C,Petrol,AUTOMATIC,"₹ 162,999"
70,"16,906 km",2017 Maruti Dzire VXI AMT,January 2016,First Owner,NA,Zero_Dep,DL8C,Petrol,NA,"₹ 565,699"
71,"38,933 km",2015 Maruti Wagon R 1.0 LXI,June 2016,First Owner,9/1/2022,3rd Party,DL12,Petrol,MANUAL,"₹ 362,115"
72,"43,010 km",2016 Maruti Celerio VXI AMT,November 2008,Second Owner,NA,Comp,DL1C,Petrol,NA,"₹ 424,299"
73,"42,167 km",2015 Hyundai Elite i20 ASTA 1.2,June 2017,First Owner,7/7/2020,Comp,DL3C,Petrol,AUTOMATIC,"₹ 606,099"
74,"16,919 km",2013 Honda Brio 1.2 EX MT I VTEC,April 2015,First Owner,6/6/2021,Expired,DL13,Petrol,NA,"₹ 255,899"
75,"16,920 km",2012 Toyota Etios Liva GD,January 2016,First Owner,24/12/2020,Zero_Dep,DL10,Petrol,MANUAL,"₹ 318,099"
76,"27,487 km",2010 Honda City S MT PETROL,March 2015,First Owner,21/3/2021,Comp,DL4C,Petrol,NA,"₹ 388,899"
77,"67,484 km",2020 Maruti New  Wagon-R LXI 1.0 L,March 2013,Second Owner,27/5/2021,Comp,DL3C,Petrol + CNG,MANUAL,"₹ 548,099"
78,"61,443 km",2013 Maruti Ritz VDI ,May 2012,First Owner,19/6/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 271,299"
79,NA,2012 Maruti Swift Dzire LXI 1.2 BS IV,June 2010,First Owner,12/7/2021,Comp,DL2C,Petrol,MANUAL,"₹ 376,199"
80,"39,947 km",2016 Maruti Baleno DELTA DDIS 190 ,NA,First Owner,9/8/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 583,099"
81,"3,466 km",2016 Maruti Baleno DELTA DDIS 190 ,June 2020,First Owner,11/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 520,199"
82,"54,237 km",2019 Maruti New  Wagon-R LXI 1.0 L,September 2013,NA,14/2/2022,Comp,DL5C,Petrol,MANUAL,"₹ 494,199"
83,"41,541 km",2016 Maruti Vitara Brezza ZDI,February 2012,First Owner,7/9/2021,Zero Depreciation,DL3C,Diesel,MANUAL,"₹ 595,199"
84,NA,2017 Maruti Eeco 5 STR WITH AC PLUSHTR,August 2016,First Owner,26/5/2022,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 361,199"
85,"32,865 km",2013 Maruti Swift Dzire VDI,NA,First Owner,19/6/2021,Expired,DL4C,Petrol,MANUAL,"₹ 391,899"
86,"43,702 km",2013 Volkswagen Vento HIGHLINE PETROL,September 2016,First Owner,5/1/2022,Expired,DL3C,Diesel,MANUAL,"₹ 448,099"
87,"13,185 km",2014 Honda Brio 1.2 S MT I VTEC,April 2019,First Owner,18/8/2021,Third_party,DL4C,Petrol + CNG,MANUAL,"₹ 304,899"
88,"59,715 km",2012 Maruti Ritz VDI ,November 2016,Second Owner,20/3/2021,Third_party,DL3C,Diesel,MANUAL,"₹ 232,999"
89,"28,319 km",2013 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,February 2017,NA,28/6/2021,Comp,DL12,NA,MANUAL,"₹ 327,699"
90,"56,620 km",2017 Maruti Alto K10 VXI ,March 2013,First Owner,25/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 385,999"
91,"37,399 km",2015 Maruti Alto 800 LXI,March 2013,First Owner,NA,NA,DL1C,NA,MANUAL,"₹ 253,899"
92,"58,058 km",2019 Renault Kwid RXT Opt,February 2014,First Owner,2/11/2021,Expired,DL8C,Petrol,MANUAL,"₹ 325,500"
93,"68,342 km",2010 Maruti Ritz ZXI,November 2012,First Owner,NA,Expired,DL4C,Diesel,MANUAL,"₹ 310,599"
94,"53,642 km",2012 Maruti Swift Dzire VDI BS IV,October 2013,First Owner,28/11/2021,Zero_Dep,DL5C,Petrol,MANUAL,"₹ 384,399"
95,"28,261 km",2017 Maruti Alto K10 VXI ,May 2017,First Owner,NA,NA,DL3C,Petrol,MANUAL,"₹ 331,099"
96,"49,749 km",2014 Honda Amaze 1.5 EMT I DTEC,March 2015,First Owner,28/11/2021,Comp,DL3C,Petrol,MANUAL,"₹ 311,199"
97,"22,471 km",2009 Hyundai i10 MAGNA 1.2,March 2019,First Owner,NA,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 139,299"
98,"41,832 km",2013 Hyundai i20 SPORTZ 1.2 VTVT,November 2010,First Owner,12/4/2021,Comprehensive,DL7C,Petrol,MANUAL,"₹ 291,899"
99,"57,730 km",2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,November 2012,First Owner,NA,Comprehensive,DL7C,Diesel,MANUAL,"₹ 365,099"
100,"36,929 km",2012 Maruti Swift Dzire VDI BS IV,March 2017,Second Owner,28/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 317,899"
101,"55,490 km",2018 Maruti Baleno DELTA DDIS 190 ,January 2014,First Owner,NA,Comp,DL14,Diesel,NA,"₹ 600,399"
102,"73,894 km",2012 Maruti Ritz LDI ,December 2009,Second Owner,5/7/2021,Expired,DL1C,Petrol + CNG,MANUAL,"₹ 248,899"
103,"63,467 km",2011 Toyota Etios G,May 2013,Second Owner,NA,Comp,HR26,Petrol,NA,"₹ 292,899"
104,"51,461 km",2013 Honda City V MT PETROL,June 2014,First Owner,24/7/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 513,399"
105,"95,472 km",2013 Hyundai i20 MAGNA O 1.2,November 2012,First Owner,21/11/2021,Comp,DL12,Diesel,NA,"₹ 390,099"
106,"24,274 km",2012 Maruti Ertiga VDI ABS,March 2018,First Owner,24/4/2021,Zero_Dep,DL13,Diesel,MANUAL,"₹ 386,500"
107,"59,348 km",2013 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,February 2012,First Owner,13/11/2021,Comp,DL8C,Diesel,NA,"₹ 413,099"
108,"49,806 km",2016 Mahindra Kuv100 K4 6 STR,August 2011,Second Owner,23/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 373,299"
109,"40,028 km",2014 Hyundai Verna FLUIDIC 1.4 CRDI CX,February 2013,Second Owner,9/1/2022,Expired,DL12,Petrol,MANUAL,"₹ 445,799"
110,"30,210 km",2008 Maruti Swift Dzire VXI 1.3,February 2013,Second Owner,NA,Comp,DL2C,Petrol,MANUAL,"₹ 184,899"
111,"69,762 km",2013 Volkswagen Polo HIGHLINE1.2L PETROL,May 2012,First Owner,20/5/2021,3rd Party,DL8C,Diesel,MANUAL,"₹ 326,199"
112,"32,496 km",2014 Honda Amaze 1.5 SMT I DTEC,November 2013,First Owner,1/8/2021,Expired,DL10,Petrol,MANUAL,"₹ 386,999"
113,"43,945 km",2013 Mahindra Quanto C2,June 2016,First Owner,NA,Comp,DL12,Petrol,MANUAL,"₹ 269,699"
114,"68,473 km",2016 Datsun Redi Go S,April 2014,Second Owner,21/5/2021,Zero Depreciation,DL8C,Diesel,MANUAL,"₹ 200,999"
115,"79,096 km",2017 Tata TIGOR Revotron XT,November 2008,First Owner,4/11/2021,Comp,DL10,Petrol,MANUAL,"₹ 402,799"
116,"53,505 km",2012 Maruti Swift Dzire VDI BS IV,April 2013,Second Owner,28/5/2021,Comp,DL8C,Petrol,MANUAL,"₹ 337,099"
117,"66,460 km",2016 Maruti Vitara Brezza VDI OPT,November 2014,First Owner,9/12/2021,Comp,DL3C,Diesel,MANUAL,"₹ 602,799"
118,"29,748 km",2014 Honda Amaze 1.5 SMT I DTEC,May 2013,First Owner,23/5/2021,Expired,DL3C,Diesel,MANUAL,"₹ 347,999"
119,"46,514 km",2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,October 2016,First Owner,NA,Comp,DL12,Petrol,MANUAL,"₹ 401,799"
120,"47,513 km",2013 Maruti Wagon R 1.0 VXI,April 2017,First Owner,13/5/2021,Comp,DL3C,Petrol,MANUAL,"₹ 309,199"
121,"68,930 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,December 2012,First Owner,8/5/2021,Expired,DL3C,Diesel,MANUAL,"₹ 349,499"
122,"58,586 km",2012 Volkswagen Polo HIGHLINE1.2L PETROL,May 2016,First Owner,NA,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 350,899"
123,"55,933 km",2017 Renault Kwid 1.0 RXL,January 2014,First Owner,25/3/2021,Comp,DL8C,Diesel,MANUAL,"₹ 315,799"
124,"42,170 km",2009 Hyundai i10 MAGNA 1.2,April 2014,Second Owner,21/3/2021,Expired,DL7C,Petrol,MANUAL,"₹ 198,199"
125,"34,903 km",2015 Maruti Celerio ZXI AMT,May 2013,Second Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 404,399"
126,"69,555 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,January 2013,First Owner,5/11/2021,Expired,DL10,Diesel,MANUAL,"₹ 430,299"
127,"44,632 km",2010 Maruti Alto K10 VXI ,September 2012,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 209,999"
128,"32,036 km",2018 Maruti Celerio ZXI ,May 2017,First Owner,27/11/2021,Expired,DL12,Petrol,MANUAL,"₹ 401,399"
129,"67,425 km",2007 Maruti Alto LXI,January 2009,First Owner,10/3/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 141,199"
130,"58,776 km",2019 Honda City SV MT PETROL,October 2015,First Owner,8/11/2021,Zero_Dep,DL14,Petrol,AUTOMATIC,"₹ 865,299"
131,"61,895 km",2016 Maruti Vitara Brezza ZDI,September 2013,First Owner,23/10/2021,Comp,DL12,Diesel,MANUAL,"₹ 731,999"
132,"26,517 km",2018 Maruti Swift LXI,October 2010,Second Owner,21/2/2021,Comp,DL9C,Petrol,MANUAL,"₹ 578,199"
133,"33,199 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,July 2018,First Owner,27/7/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 404,899"
134,"23,251 km",2017 Maruti Celerio ZXI AMT,September 2007,First Owner,18/10/2021,Comp,DL8C,Petrol,MANUAL,"₹ 413,181"
135,"28,213 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,February 2019,First Owner,26/3/2022,Expired,DL9C,Petrol,MANUAL,"₹ 401,999"
136,"37,767 km",2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,May 2016,First Owner,9/5/2021,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 504,799"
137,"10,930 km",2015 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,July 2018,First Owner,15/9/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 306,099"
138,"49,286 km",2014 Honda City V MT PETROL,May 2018,First Owner,31/8/2021,Third_party,DL11,Petrol + CNG,MANUAL,"₹ 593,499"
139,"52,275 km",2019 Maruti Vitara Brezza VDI,February 2017,First Owner,29/5/2021,Zero Depreciation,DL9C,Petrol,AUTOMATIC,"₹ 978,899"
140,"33,739 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,May 2018,First Owner,28/6/2021,Zero_Dep,DL1C,Petrol + CNG,MANUAL,"₹ 400,399"
141,"57,702 km",2015 Toyota Innova 2.5 GX 8 STR BS IV,April 2014,Second Owner,16/6/2021,Comp,DL3C,Diesel,MANUAL,"₹ 837,699"
142,"45,174 km",2013 Volkswagen Jetta COMFORTLINE 2.0L TDI,December 2015,First Owner,31/12/2020,Zero_Dep,DL10,Petrol + CNG,MANUAL,"₹ 529,499"
143,"48,845 km",2009 Hyundai i20 MAGNA 1.2 VTVT,April 2014,First Owner,1/5/2021,Comp,DL2C,Petrol,MANUAL,"₹ 187,199"
144,"4,691 km",2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,November 2019,First Owner,29/12/2022,Third_party,DL12,Diesel,MANUAL,"₹ 394,699"
145,"52,886 km",2012 Hyundai Eon D LITE PLUS,March 2018,First Owner,24/3/2021,Zero_Dep,HR13,Petrol + CNG,MANUAL,"₹ 202,399"
146,"45,613 km",2009 Honda City S MT PETROL,February 2015,First Owner,25/3/2021,Comp,DL7C,Diesel,MANUAL,"₹ 233,099"
147,"72,980 km",2019 Maruti Ciaz ALPHA 1.3 DDIS SHVS ,January 2013,First Owner,10/4/2021,Comp,DL10,Diesel,MANUAL,"₹ 1,062,280"
148,"68,656 km",2016 Hyundai Grand i10 SPORTS 1.2 VTVT,June 2009,Third Owner,1/7/2021,Expired,DL12,Petrol,MANUAL,"₹ 427,999"
149,"65,299 km",2012 Maruti Ritz VXI BS IV,February 2014,Second Owner,NA,Comp,DL8C,Petrol,MANUAL,"₹ 268,999"
150,"46,655 km",2009 Hyundai i10 MAGNA 1.2,May 2012,Second Owner,23/3/2021,Expired,DL3C,Petrol,MANUAL,"₹ 182,599"
151,"118,873 km",2012 Toyota Etios Liva GD,February 2009,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 311,199"
152,"5,595 km",2012 Maruti Swift Dzire VDI BS IV,March 2019,First Owner,8/4/2021,Comp,DL9C,Diesel,MANUAL,"₹ 404,899"
153,"35,791 km",2010 Honda City V MT PETROL,March 2016,Second Owner,10/2/2021,Zero_Dep,DL4C,Petrol + CNG,MANUAL,"₹ 299,299"
154,"46,681 km",2009 Honda City S MT PETROL,March 2012,Second Owner,16/5/2021,Expired,DL8C,Petrol + CNG,MANUAL,"₹ 283,899"
155,"58,101 km",2009 Maruti Ritz VXI ABS ,June 2009,First Owner,28/7/2021,Comp,DL3C,Petrol,MANUAL,"₹ 233,599"
156,"68,582 km",2012 Hyundai i20 ASTA 1.2,November 2012,First Owner,26/11/2021,Comprehensive,DL2C,Diesel,MANUAL,"₹ 353,099"
157,"48,585 km",2013 Maruti Swift Dzire VDI,December 2012,First Owner,28/9/2021,Expired,DL7C,Diesel,MANUAL,"₹ 440,199"
158,"127,472 km",2013 Maruti Swift Dzire VDI BS IV,August 2010,First Owner,NA,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 449,999"
159,"71,447 km",2012 Maruti Swift Dzire LDI BS IV,February 2009,First Owner,23/2/2021,Expired,DL1C,Petrol + CNG,MANUAL,"₹ 334,899"
160,"56,276 km",2016 Maruti Celerio VXI AMT,September 2009,Second Owner,25/1/2021,Comp,DL8C,Petrol,MANUAL,"₹ 429,299"
161,"46,121 km",2010 Maruti Alto LXI,August 2012,Third Owner,14/9/2021,Comp,DL5C,Petrol,MANUAL,"₹ 189,099"
162,"36,839 km",2017 Ford Figo Aspire 1.2 AMBIENTE PETROL,October 2013,First Owner,25/11/2021,Comp,DL10,Diesel,MANUAL,"₹ 451,399"
163,"42,679 km",2012 Hyundai i20 MAGNA O 1.2,July 2013,First Owner,18/7/2021,Comp,DL10,Diesel,MANUAL,"₹ 356,199"
164,"67,776 km",2019 Renault Kwid RXT Opt,March 2012,Second Owner,22/3/2021,Third_party,DL12,Diesel,MANUAL,"₹ 337,003"
165,"43,386 km",2016 Datsun Redi Go S,January 2016,First Owner,7/2/2021,Comp,DL9C,Petrol,AUTOMATIC,"₹ 227,599"
166,"37,485 km",2013 Hyundai Grand i10 SPORTZ 1.1 CRDI,November 2010,First Owner,3/2/2021,Expired,DL3C,Petrol,MANUAL,"₹ 392,399"
167,"26,490 km",2016 Renault Kwid RXT,May 2017,First Owner,NA,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 301,399"
168,"50,918 km",2017 Maruti Ertiga VDI SHVS,December 2012,First Owner,22/1/2021,Comp,DL3C,Petrol,MANUAL,"₹ 699,099"
169,"25,879 km",2012 Hyundai i20 MAGNA 1.2 VTVT,March 2019,First Owner,8/7/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 345,899"
170,"31,153 km",2015 Maruti Swift VDI ABS,November 2016,Second Owner,24/8/2021,Comprehensive,DL2C,Petrol,MANUAL,"₹ 483,299"
171,"46,996 km",2012 Honda Brio 1.2 S (O) MT IVTEC,November 2013,First Owner,9/12/2021,Zero Depreciation,DL4C,Diesel,MANUAL,"₹ 245,699"
172,"33,893 km",2009 Honda City S MT PETROL,March 2016,First Owner,22/4/2021,Comp,DL8C,Petrol,MANUAL,"₹ 233,399"
173,"27,457 km",2011 Maruti Swift Dzire LXI 1.2 BS IV,May 2017,First Owner,12/6/2021,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 224,199"
174,"65,055 km",2013 Maruti Ertiga VDI ABS,January 2012,First Owner,22/9/2021,Comp,DL9C,Petrol,MANUAL,"₹ 618,799"
175,"46,856 km",2011 Maruti Swift VDI,January 2015,First Owner,26/2/2021,Zero_Dep,DL3C,Diesel,MANUAL,"₹ 241,699"
176,"85,656 km",2017 Maruti Wagon R 1.0 LXI CNG,March 2012,First Owner,26/5/2021,Comp,DL3C,Petrol,MANUAL,"₹ 392,899"
177,"73,179 km",2012 Maruti Swift Dzire ZDI,January 2009,Second Owner,19/2/2021,Comp,DL8C,Petrol,MANUAL,"₹ 374,999"
