,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
695,"38,253 km",2016 Renault Kwid RXT Opt,December 2013,NA,29/5/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 235,157"
696,"15,798 km",2015 Ford Ecosport 1.5 AMBIENTE TDCI,December 2017,First Owner,14/2/2021,Expired,DL3C,NA,MANUAL,"₹ 470,000"
697,"32,246 km",2009 Hyundai i10 MAGNA 1.2,June 2016,Second Owner,NA,Third_party,DL4C,Petrol + CNG,MANUAL,"₹ 142,000"
698,"21,896 km",2019 Maruti Celerio VXI ,January 2018,First Owner,10/4/2021,NA,DL2C,Petrol + CNG,MANUAL,"₹ 335,000"
699,"34,114 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,January 2014,First Owner,NA,3rd Party,DL9C,Petrol,MANUAL,"₹ 332,500"
700,"31,407 km",2018 Maruti Wagon R 1.0 VXI,November 2012,First Owner,9/2/2021,Expired,HR26,Petrol,MANUAL,"₹ 337,363"
701,"45,829 km",2014 Maruti Alto 800 LXI,February 2015,First Owner,NA,Insurance Expired,DL6C,Petrol,MANUAL,"₹ 191,000"
702,"8,627 km",2017 Maruti Dzire VXI,January 2016,First Owner,4/11/2020,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 503,235"
703,"22,502 km",2019 Hyundai NEW SANTRO 1.1 SPORTS AMT,January 2013,Second Owner,NA,Comprehensive,DL11,Petrol,MANUAL,"₹ 450,000"
704,"23,844 km",2008 Maruti Swift Dzire VXI,May 2016,First Owner,2/4/2022,Insurance Expired,UP16,Petrol + CNG,MANUAL,"₹ 140,000"
705,"42,392 km",2015 Renault Kwid RXT,August 2015,First Owner,NA,Zero_Dep,DL8C,Diesel,MANUAL,"₹ 194,000"
706,"31,425 km",2011 Chevrolet Spark LS 1.0,June 2009,Second Owner,10/6/2021,Insurance Expired,DL10,Petrol,MANUAL,"₹ 90,000"
707,"10,901 km",2019 Renault Kwid RXL,March 2019,First Owner,NA,Third_party,DL8C,Petrol,MANUAL,"₹ 295,000"
708,"5,824 km",2013 Volkswagen Vento HIGHLINE DIESEL,April 2018,First Owner,27/7/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 375,000"
709,"7,252 km",2017 Hyundai Eon ERA PLUS,February 2018,Second Owner,NA,Expired,DL4C,Petrol,MANUAL,"₹ 250,000"
710,"42,215 km",2020 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,August 2014,First Owner,22/12/2020,Expired,DL5C,Petrol,MANUAL,"₹ 420,000"
